KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'0599;0;0;0
'0599.01;0;12,38;26,17
'0612;56,08;48,15;57,41
'0613;3,3;0;63,31
'0614;34,46;59,75;25,91
'0615;6,25;7,36;8,33
'0619;0;0;0,01
'0620.01.01;0;0;0
'0620.02;0;0;0
'0620.03;0;0;0
'0620.04.01;0;0;0
'0620.08;0;0;0
'0620.10;0;0;0
'0620.21;0;0;0
'0620.36;0;0;0
'0620.42;0;0;0
'0620.43;0;0;0
'0621;0;0;0
'0621.01;0;0;0
'0622;0;0;0
'0624;22,21;22,33;22,33
'0624.01;8,61;8,44;13,25
'0624.02;1,24;1,3;1,3
'0626;218,9;370,91;425,89
'0627;0;96,09;0
'0628.01;0;0;0
'0633.09;0;0;0
'0633.10;0;0;0
'0635.01;0;0;0
'0643;0,08;1,06;0,67
'0643.04;0;0;0
'0645;20,82;9,44;21,67
'0645.01;10,14;25,86;35,91
'0645.02;0,01;0,01;0
'0645.03;1,19;0,01;0,94
'0645.06;0;0;0
'0648;0,01;0;0,01
'0648.01;0;0;0
'0649;0;0;0
'0651;4,61;2,17;2,46
'0651.01;0;0;0
'0651.02;0;0;0
'0651.03;0;0;0
'0651.04;0,3;0;4,59
'0651.07;0,96;2,36;4,73
'0651.09;0,49;0,29;0,4
'0652.01;0;0;0
'0652.02;0;0;0
'0652.03;0;0;0
'0652.04;0;0;0
'0654;0,4;0,5;0,5
'0655;0;0;0
'0665.01;14,71;12,94;30,84
'0667;0;0;0
'0671;0;0;0
'0672;0;0;0
'0673;0;0;0
'0676;0;0;0
'0677;0,01;0,12;0,12
'0684.06;0;0;0
'0685;0,01;0,12;0,12
'0687.01;0;0;0
'0687.02;0;0;0
'0687.03;0;0;0
'0687.14;0;0;0
'0687.15;0;0;0
'0687.16;0;0;0
'0687.17;0;0;0
'0692;0;0;0
'0692.01;1,13;1,67;3,48
'0692.40;0;0;0
'0692.41;0;0;0
'0692.50;0;0;0
'0692.51;25,73;35,23;68,5
'0692.51.01;0;0;0
'0692.51.02;0;0;0
'0692.52;6,7;15,01;7,02
'0692.55;46,71;100,8;103,37
'0692.56;0,01;0,12;0,12
'0692.60;0,01;0,41;0,63
'0692.61;13,57;9,6;1,75
'0692.61.01;0,01;0,12;0,12
'0692.66;0;0;0
'0692.67;10,31;17,92;18,51
'0692.69;0;0;0
'0692.72;0;0;0
'0693;84,14;167,98;163,72
'0694;2,61;2,81;3,78
'0696;96,76;110,42;132,35
'0696.02;0;0;0
'0697;8,84;9,13;8,69
'0698;40,49;53,85;91,1
'0701;38,76;22,76;17,48
'0702;3,91;4,5;7,5
'0703;0,01;0,12;1,33
'0703.01;0;0;0
'0703.02;49,35;96,43;200,0
'0705.01;0,01;0;0,01
'0709;0;0;0
'0718;0,01;0;0
'0721;2,96;1,96;0,45
'0725;93,77;93,7;90,89
'0726;11,23;10,93;5,08
'0730;0;0;0
'0734.01;0,12;0,12;0,12
'0734.02;0,5;3,15;4,22
'0736;34,28;30,91;18,38
'0736.02;11,28;10,9;8,11
'0736.05;4,55;4,6;4,6
'0740;0;0,01;0
'0742;29,22;64,81;39,61
'0744;0;0;0
'0745;0,37;2,0;2,29
'0747.02;248,36;361,82;360,11
'0753.01;2,29;2,62;1,08
'1001.;5,0;0,95;4,79
'1001.02;0;0;0
'1002.;0,65;0,45;2,14
'1002.03;0;0;0
'1003.;5,62;5,93;5,9
'1003.01;0;0;0
'1003.03;1,45;2,26;1,08
'1004.01;0;0;0
'1005.;55,46;127,53;144,37
'1005.00;0;0;0
'1005.01.;2,81;1,36;1,48
'1005.02;0;0;0
'1005.06;0;0;0
'1005.09;0;0;0
'1006.;5,7;8,99;12,3
'1007;0,76;3,35;4,92
'1008 TDF;0;0;0
'1008.;8,2;11,37;24,89
'1008.01;0;0;0
'1009.;0;0;0
'1009.02;0;5,36;13,0
'1010.;0,01;1,07;0,7
'1011;0,63;0,7;0,75
'1011.01;0;0;0
'1011.02;0;0;0
'1011.04;0,19;0,12;0,12
'1012;0;0;0
'1014;5,89;5,11;3,46
'1017.00;0;0;0
'1018;0,01;0,12;0,01
'1018.00;0;0;0
'1018.00.01;0;0;0
'1018.01;0;0;0
'1019.00.02;0;0;0
'1019.02;0,01;0,12;0,12
'1019.04;0;0;0
'1019.FLAIR;0;0;0
'1019.FLAIR.01;0;0;0
'1020.;0;0;0
'1020.04;0;0;0
'1020.06;0;0;0
'1020.07;0;0;0
'1020.08;0;0;0
'1021;0;0;0
'1021.00;0;0;0
'1022;14,15;19,41;15,78
'1022.01;0;0;0
'1023.;0;0;0
'1023.00;0;0;0
'1023.01;4,54;11,0;25,73
'1023.05;9,97;9,71;10,21
'1024.01;0;0;0
'1026.;0,29;0;0,01
'1026.06;7,78;2,58;9,07
'1026.07;0;0;0
'1027;0;0;0
'1028;0;0;0
'1029;0;0;0
'1030.00;0;0;0
'1031.;2,88;1,55;0
'1033;0;0;0
'1034;0;0;0
'1035;24,54;25,77;36,02
'1036;11,67;7,05;0
'1036.02;22,84;40,98;30,4
'1037;0;0;0
'1038;0;0;0
'1038.01;0;12,28;36,76
'1038.02;0;0;0
'1039.;0,7;0,7;0,7
'1039.00;0;0;0
'1041;0,71;0,7;0,7
'1041.01;4,53;4,6;4,59
'1041.02;0;0;0
'1041.05;0;0;0
'1041.07;0;0;0
'1042;3,19;4,22;4,6
'1042.00.01;0;0;0
'1044;9,39;9,78;8,43
'1045;0;0;0
'1047;0;0;0
'1047.01;0;0;0
'1047.02;0;0;0
'1050;0;0;0
'1051;0;0;0
'1052;0;0;0
'1053.02;0;0;0
'1053.03;0;0;0
'1055;0;0;0
'1056;0;0;0
'1056.04;0;0;0
'1056.07;0;0;0
'1057;0;0;0
'1057.00;0;0;0
'1058;0;0;0
'1058.01;0;0;0
'1058.05;1,47;0,96;2,39
'1060;0;0;0
'1060.00.10;0;0;0
'1060.01;1,09;0,7;0,7
'1060.06;0;0;0
'1060.11;0;0;0
'1060.12;0;0;0
'1060.13;0;0;0
'1060.16;7,85;6,79;9,24
'1060.16.01;3,59;0,5;0
'1060.17;2,25;1,77;1,9
'1060.18;0;0;0
'1061;0;0;0
'1061.04;0;0;0
'1062;1,43;0,55;1,31
'1062.01;0;0;0
'1063.06;0,01;0,12;1,07
'1063.09;0;0;0
'1064;0;0;0
'1066;0;0;0
'1067;0;0;0
'1068;0;0;0
'1068.01;0;0;0
'1068.02;0;0;0
'1070;0;0;0
'1071;0;0;0
'1075.01;0;0;0
'1075.02;0;0;0
'1075.03;0;4,92;7,31
'1075.04;0;0;0
'1075.05;0,22;1,18;1,62
'1076;2,34;2,62;1,08
'1076.01;8,22;7,85;13,45
'1083;0;0;0
'1083.01;0;0;0
'1084;0;0;0
'1090.01;0;0;0
'1091;0;0;0
'1096;0;0;0
'1096.03;0;0;0
'1097.01;0;0;0
'1098;0,01;0,12;0,12
'1099;0,01;0,18;0,4
'1102;0;0,13;2,13
'1102.00.01;0;0;0
'1102.01;0;0;0
'1102.02;0;0;0
'1104;0;0;0
'1104.02;0;0;0
'1105;0;0;0
'1108.01;0,01;0,01;0,12
'1108.02;0;0;0
'1109;0;0;0
'1110.02;0,71;8,73;13,79
'1111;0,01;0,12;0,12
'1113;0;0;0
'1114;0;0;0
'1116.02;0;0;0
'1116.03;0;0;0
'1117;0;0;0
'1117.041;0;0;0
'1121;0;0;0
'1121.01;0,7;4,57;5,52
'1123;0;0;0
'1125;0;0;0
'1131;0;0;0
'1133;0;0;0
'1134;0;0;0
'1135;0,13;0;0
'1135.04;0;0;0
'1135.05;0;0;0
'1135.06;0;0;0
'1137;0,01;0,12;0,66
'1137.01;0;0;0
'1138;0,01;0,12;0,12
'1138 L;0;0;0
'1138.02;0;0;0
'1138.09;0;0;0
'1139.;0;0;0
'1139.03;0;0;0
'1139.06;1,61;0,01;0,82
'1139.07;0;0;0
'1139.08;0;0;0
'1139.11;0;0;0
'1139.12;6,96;12,66;12,08
'1139.13;0;0;0
'1142;0,01;0,01;0,06
'1143;0;0;0
'1143.01;0;0;0
'1144;5,51;12,94;20,74
'1144.01;0;0;0
'1145.;5,11;13,65;9,99
'1145.01;0;0;0
'1145.05;0;0;0
'1145.COLL;0;0;0
'1146;0;0;0
'1146.00.02;0;0;0
'1146.01;0;0;0
'1146.02;0;0;0
'1146.04;0;0;0
'1146.06;0;0;0
'1146.12;0;0;0
'1147;0;0;0
'1148.02;0,01;0,41;0,23
'1149.09;3,82;2,82;2,74
'1149.10;0,01;0,01;0,12
'1150;0,12;0,12;0,12
'1150.01;0;0;0
'1151;0;0;0
'1151.00.01;0;0;0
'1151.02;0;0;0
'1153;0;0;0
'1153.01;0;0;0
'1153.02;0;0;0
'1153.03;0;0;0
'1153.04;0,01;0,12;0,12
'1153.08;0;0;0
