KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'3B04.08;0;0;0
'3B04.08-S;0;0;0
'3B04.09;0;0;0
'3B04.09-S;0;0;0
'3B04.10;0;0;0
'3B04.11;0;0;0
'3B04.12;0;0;0
'3B04.13;0;0;0
'3B04.14;0;0;0
'3B04.15;0;0;0
'3B04.16;0,01;0,12;24,78
'3B04.17;0,01;0,12;0,12
'3B04.18;0;0;0
'3B04.19;0;0;0
'3B04.20;0;0;0
'3B04.23;0;0;0
'3B04.261;0;0;0
'3B04.271;0;0;0
'3B04.272;0;0;0
'3B04.273;0;3,98;0
'3B04.274;0,01;0,12;0,12
'3B04.28;0;0;0
'3B04.29;0;0;0
'3B04.30;0;0;0
'3B04.31;0;0;0
'3B04.32;0;0;0
'3B04.33;0;0;0
'3B04-S;0;0;0
'3B05;0;0;0
'3B07.01;0;0;0
'3B08;0;0;0
'3B08.01;0;0;0
'3B08.02;0;0;0
'3B08.03;0;0;0
'3B09.01;0;0;0
'3B09.02;0;0;0
'3B09.03;0;0;0
'3B10;0;0;0
'3B10.01;186,42;183,74;237,11
'3B10.02;0;0;0
'3B10.03;0;0;0
'3B10.04;0;0;0
'3B11;0;0;0
'3B13;0;0;0
'3B13.01;0;0;0
'3B13.011;0;0;0
'3B13.02;0;0;0
'3B13.03;0;0;0
'3B13.031;0;0;0
'3B13.04;0;0;0
'3B13.05;0;0;0
'3B13.06;0;0;0
'3B13.061;0;0;0
'3B13.07;0;0;0
'3B13.071;0;0;0
'3B13.072;0;0;0
'3B13.08;0;0;0
'3B13.081;0;0;0
'3B13.09;0;0;0
'3B13.10;0;0;0
'3B14;0;0;0
'3B14.01;0;0;0
'3B15;0;0;0
'3B15.01;0;0;0
'3B15.02;0;0;0
'3B15.03;0;0;0
'3B16;0;0;0
'3B17;0;0;0
'3B17.01;0;0;0
'3B19;0;0;0
'3B19.01;0;0;0
'3B19.02;0;0;0
'3B19.03;0;0;0
'3B19.04;0;0;0
'3B20;0;0;0
'3B20.01;0;0;0
'3B20.02;0;0;0
'3B22;0;0;0
'3B23;0;0;0
'3B23.01;0;0;0
'3B23.02;0;0;0
'3B23.03;0;0;0
'3B23.04;0;0;0
'3B23.05;0;0;0
'3B23.06;0;0;0
'3B24;0;0;0
'3B24.01;0;0;0
'3B24.02;0;0;0
'3B25;0;0;0
'3B26;0;0;0
'3B26.01;0;0;0
'3B26.02;0;0;0
'3B26.03;0;0;0
'3B26.031;0;0;0
'3B26.032;0;0;0
'3B27;0;0;0
'3B27.01;0;0;0
'3B27.011;0;0;0
'3B28;0;0;0
'3B29;0;0;0
'3B29.01;0;0;122,98
'3B30;0;0;0
'3B30.01;0;0;0
'3B31;65,54;72,92;118,51
'3B31.01;0;0;0
'3B31.02;0;0;0
'3B31.021;0;0;0
'3B31.03;20,04;17,42;30,19
'3B31.031;0;0;0
'3B31.04;8,36;7,05;9,89
'3B31.05;0;0;0
'3B31.06;28,21;51,41;55,66
'3B31.06 F;0;0;0
'3B31.061;0;0;0
'3B31.07;0;0;0
'3B31.071;0;0;0
'3B31.08;0;0;0
'3B31.081;0;0;0
'3B31.082;0;0;0
'3B31.083;0;0;0
'3B31.09;0;0;0
'3B31.091;0;0;0
'3B31.10;0;0;0
'3B31.11;0;0;0
'3B31.12;0;0;0
'3B31.13;0;0;0
'3B31.14;0;0;0
'3B32;0;0;0
'3B32.01;0;0;0
'3B32.02;0;0;0
'3B33;0;0;0
'3B33.01;0;0;0
'3B33.011;0;0;0
'3B33.02;0;0;0
'3B33.03;0;0;0
'3B33.04;0;0;0
'3B33.05;0;0;0
'3B33.06;0;0;0
'3B33.07;0;0;0
'3B33.08;0;0;0
'3B33.10;0;0;0
'3B34;0;0;0
'3B34.01;0;0;0
'3B34.02;0;0;0
'3B34.021;0;0;0
'3B35;0;0;0
'3B35.01;0;0;0
'3B35.011;0;0;0
'3B36;0;0;0
'3B36.01;0;0;0
'3B36.02;0;0;0
'3B36.03;0;0;0
'3B36.04;0;0;0
'3B36.05;0;0;0
'3B36.06;0;0;0
'3B36.07;0;0;0
'3B36.08;0;0;0
'3B36.081;0;0;0
'3B36.082;0;0;0
'3B36.083;0;0;0
'3B36.084;0;0;0
'3B36.09;0;0;0
'3B36.10;0;0;0
'3B36.11;0;0;0
'3B36.12;0;0;0
'3B37;1,15;22,11;65,35
'3B38;0;0;0
'3B39;0;0;0
'3B40.11 W;0;0;0
'3B40.13 W;0;0;0
'3B40.131 W;0;0;0
'3B40.132 W;0;0;0
'3B40.133 W;0;0;0
'3B40.134;0;0;0
'3B40.135;0;0;0
'3B40.14 W;0;0;0
'3B40.15 W;0;0;0
'3B40.151 W;0;0;0
'3B40.16 W;0;0;0
'3B40.17 W;0;0;0
'3B40.171 W;0;0;0
'3B40.172 W;0;0;0
'3B40.173 W;0;0;0
'3B40.18 W;0;0;0
'3B40.19 W;0;0;0
'3B40.191 W;0;0;0
'3B40.192 W;0;0;0
'3B40.20 W;0;0;0
'3B40.21 W;0;0;0
'3B40.211 W;0;0;0
'3B40.27 W;0;0;0
'3B40.271 W;0;0;0
'3B40.28 W;0;0;0
'3B40.281 W;0;0;0
'3B40.29 W;0;0;0
'3B40.30 W;0;0;0
'3B40.32 W;0;0;0
'3B40.321 W;0;0;0
'3B40.322 W;0;0;0
'3B40.323 W;0;0;0
'3B40.33 W;0;0;0
'3B40.331 W;0;0;0
'3B40.34 W;0;0;0
'3B40.36 W;0;0;0
'3B40.37 W;0;0;0
'3B40.371 W;0;0;0
'3B40.372 W;0;0;0
'3B40.373 W;0;0;0
'3B40.374 W;0;0;0
'3B40.375 W;0;0;0
'3B40.39 W;0;0;0
'3B40.40 W;0;0;0
'3B40.401 W;0;0;0
'3B40.43 W;0;0;0
'3B40.44 W;0;0;0
'3B40.441 W;0;0;0
'3B40.49 W;0;0;0
'3B40.491 W;0;0;0
'3B40.50;0;0;0
'3B40.51;0;0;0
'3B40.511;0;0;0
'3B40.52;0;0;0
'3B40.521;0;0;0
'3B40.53;0;0;0
'3B40.54 W;0;0;0
'3B40.541 W;0;0;0
'3B40.55 W;0;0;0
'3B40.56 W;0;0;0
'3B40.57 W;0;0;0
'3B40.571 W;0;0;0
'3B40.572 W;0;0;0
'3B40.58 W;0;0;0
'3B40.581 W;0;0;0
'3B40.582 W;0;0;0
'3B40.583;0;0;0
'3B40.587;0;0;0
'3B40.588;0;0;0
'3B40.589;0;0;0
'3B40.5891;0;0;0
'3B40.603;0;0;0
'3B40.604;0;0;0
'3B40.605;0;0;0
'3B40.606;0;0;0
'3B40.61 W;0;0;0
'3B40.63;0;0;0
'3B40.64;0;0;0
'3B40.641;0;0;0
'3B40.642;0;0;0
'3B40.643;0;0;0
'3B40.644;0;0;0
'3B40.645;0;0;0
'3B40.646;0;0;0
'3B40.648;0;0;0
'3B40.649;0;0;0
'3B40.65;0;0;0
'3B40.67;0;0;0
'3B40.68 W;0;0;0
'3B40.70;0;0;0
'3B40.71;0;0;0
'3B40.72 W;0;0;0
'3B40.73;0;0;0
'3B40.75 W;0;0;0
'3B40.76 W;0;0;0
'3B40.79;0;0;0
'3B40.791;0;0;0
'3B40.80 W;0;0;0
'3B40.81 W;0;0;0
'3B40.82;0;0;0
'3B40.84;0;0;0
'3B40.86;0;0;0
'3B40.861;0;0;0
'3B40.862;0;0;0
'3B40.863;0;0;0
'3B40.864;0;0;0
'3B40.865;0;0;0
'3B40.866;0;0;0
'3B40.87;0;0;0
'3B40.89;0;0;0
'3B40.891;0;0;0
'3B40.892;0;0;0
'3B40.9;0;0;0
'3B40.90;0;0;0
'3B40.901;0;0;0
'3B40.902;0;0;0
'3B40.903;0;0;0
'3B40.904;0;0;0
'3B40.91;0;0;0
'3B40.93;0;0;0
'3B40.931;0;0;0
'3B40.94;0;0;0
'3B40.96;0;0;0
'3B40.97;0;0;0
'3B40.98;0;0;0
'3B40.981;0;0;0
'3B40.982;0;0;0
'3B40.99;0;0;0
'3B40.991;0;0;0
'3B40.992;0;0;0
'3B40.993;0;0;0
'3B40.994;0;0;0
'3B41;0;0;0
'3B41.01;0;0;0
'3B42;0;0;0
'3B43;0;0;0
'3B44.05;0;0;0
'3B44.06;0;0;0
'3B45;0;0;0
'3B46;0;0;0
'3B47;0;0;0
'3B48;0;0;0
'3B48.01;0;0;0
'3B48.02;0;0;0
'3B48.021;0;0;0
'3B49;0;0;0
'3B49.01;0;0;0
'3B50;31,1;17,82;99,17
'3B50.01;0;0;0
'3B50.011;0;0;0
'3B50.012;0;0;0
'3B50.02;27,97;21,0;43,7
'3B50.021;0;0;0
'3B50.03;0,77;17,64;38,14
'3B50.031;0;0;0
'3B51;0;0;0
'3B51.01;0;0;0
'3B51.02;0,52;9,39;20,88
'3B51.03;0;0;0
'3B51.04;0;0;0
'3B52;0;0;0
'3B53;0;0;0
'3B54;0;0;0
'3B55;0;0;0
'3B56;0;0;0
'3B57;0;0;0
'3B58;0;0;0
'3B59;0;0;0
'3B59.01;0;0;0
'3B59.02;0;0;0
'3B60;0;0;0
'3B60.01;0;0;0
'3B60.02;0;0;0
'3B60.04;0;0;0
'3B60.07;0;0;0
'3B61;0;0;0
'3B61.01;0;0;0
'3B61.011;0;0;0
'3B61.02;0;0;0
'3B61.03;0;0;0
'3B61.04;0;0;0
'3B61.05;0;0;0
'3B62;0;0;0
'3B62.01;0;0;0
'3B63;0;0;0
'3B64;0;0;0
'3B65;0;0;0
'3B65.01;0;0;0
'3B66;0;0;0
'3B66.01;0;22,95;21,27
'3B66.02;0;0;0
'3B66.03;0;0;0
'3B66.031;0;0;0
'3B66.032;122,15;124,98;237,23
'3B67;0;0;0
'3B67.01;0;0;0
'3B67.02;0;0;0
'3B67.021;0;0;0
'3B69;0;0;0
'3B69.01;0;0;0
'3B69.02;0;0;0
'3B70;0;0;0
'3B71;17,86;32,34;30,3
'3B71.01;0;0;0
'3B71.02;0;0,73;0
'3B71.021;0;0;0
'3B71.04;0;0;0
'3B72;0;0;0
'3B73;0;0;0
'3B74;0;0;0
'3B74.01;0;0;0
'3B74.02;0;0;0
'3B74.03;0;0;0
'3B74.031;0;0;0
'3B74.032;0;0;0
'3B74.04;0;0;0
'3B74.05;0;0;0
'3B74.06;0;0;0
'3B74.07;0;0;0
'3B74.08;0;0;0
'3B74.09;0;0;0
'3B74.11;0;0;0
'3B74.12;0;0;0
'3B74.13;0;0;0
'3B74.14;0;0;0
'3B74.15;0;0;0
'3B74.16;0;0;0
'3B74.17;0;0;0
'3B74.18;0;0;0
'3B74.19;0;0;0
'3B74.20;0;0;0
'3B75;0;0;0
'3B75.01;0;0;0
'3B76;0;0;0
'3B76.01;0;0;0
'3B76.03;0;0;0
'3B76.04;0;0;0
'3B76.05;0;0;0
'3B77;0;0;0
'3B77.01;0;0;0
'3B78;0;0;0
'3B78.01;20,27;9,17;10,16
'3B78.02;0;0;0
'3B78.03;0;0;0
'3B79;0;0;0
'3B80;87,07;75,93;89,12
'3B81;0;0;0
'3B81.03;0;0,01;0
'3B81.04;0;0;0
'3B83;0;0;0
'3B85;0;0;0
'3B86;0;0;0
'3B86.01;0;0;0
'3B86.02;0;0;0
'3B86.03;0;0;0
'3B86.04;50,04;108,23;110,24
'3B86.041;155,05;261,06;359,87
'3B86.042;0,01;0,12;0,12
'3B86.05;0;9,44;44,78
'3B86.06;0;0;0
'3B86.07;0,73;2,87;2,81
'3B86.08;1,15;0;0,78
'3B87;0;0;0
'3B88;0;0;0
'3B89;0;0;0
'3B90;0;0;0
'3B90.01;0;0;0
'3B90.02;0;0;0
'3B90.03;0;0;0
'3B90.04;0;0;0
'3B90.05;0;0;0
'3B90.07;0;0;0
'3B90.08;0;0;0
'3B90.081;0;0;0
'3B90.082;0;0;0
'3B90.083;0;0;0
'3B90.09;0;0;0
'3B90.091;0;0;0
'3B90.122;0;0;0
'3B90.13;0;0;0
'3B90.14;0;0;0
'3B90.161;0;0;0
'3B90.17;0;0;0
'3B90.171;0;0;0
'3B90.172;0;0;0
'3B90.18;0;0;0
'3B90.19;0;0;0
'3B90.20;0;0;0
'3B90.201;0;0;0
'3B90.21;0;0;0
'3B90.211;0;0;0
'3B90.22;0;0;0
'3B90.23;0;0;0
'3B90.24;0;0;0
'3B90.25;0;0;0
'3B90.26;0;0;0
'3B90.27;0;0;0
'3B90.28;0;0;0
'3B90.29;0;0;0
'3B90.30;0;0;0
'3B90.31;0;0;0
'3B90.32;0;0;0
'3B90.34;0;0;0
'3B90.35;0;0;0
'3B90.351;0;0;0
'3B90.353;0;0;0
'3B90.354;0;0;0
'3B90.355 ---: 3C62.05;0;0;0
'3B90.356 --->3C62.06;0;0;0
'3B90.37;0;0;0
'3B90.38;0;0;0
'3B90.381;0;0;0
'3B90.39;0;0;0
'3B90.391;0;0;0
'3B90.40;0;0;0
'3B90.401;0;0;0
'3B90.43;0;0;0
'3B90.431;0;0;0
'3B90.44;0;0;0
'3B90.441;0;0;0
'3B90.442;0;0;0
'3B90.443;0;0;0
'3B90.444;0;0;0
'3B90.445;0;0;0
'3B90.47 --->3721.064;0;0;0
'3B90.48;0;0;0
'3B90.49;0;0;0
'3B90.491;0;0;0
'3B90.50;0;0;0
'3B90.501;0;0;0
'3B90.51;0;0;0
'3B90.511;0;0;0
'3B90.52;0;0;0
'3B90.521;0;0;0
'3B90.531;0;0;0
'3B90.54;0;0;0
'3B90.541;0;0;0
'3B90.55;0;0;0
'3B90.56;0;0;0
'3B90.57;0;0;0
'3B90.58;0;0;0
'3B90.581;0;0;0
'3B90.59;0;0;0
'3B90.60;0;0;0
'3B90.61;0;0;0
'3B90.63;0;0;0
'3B90.631;0;0;0
'3B90.64;0;0;0
'3B90.65;0;0;0
'3B90.66;0;0;0
'3B90.67;0;0;0
'3B90.671;0;0;0
'3B90.672;0;0;0
'3B90.68;0;0;0
'3B90.69;0;0;0
'3B90.70;0;0;0
'3B90.701;0;0;0
'3B90.71;0;0;0
'3B90.72;0;0;0
'3B90.720;0;0;0
'3B90.721;0;0;0
'3B90.722;0;0;0
'3B90.723;0;0;0
'3B90.74;0;0;0
'3B90.75;0;0;0
'3B90.76;0;0;0
'3B90.761;0;0;0
'3B90.762;0;0;0
'3B90.77;0;0;0
'3B90.78;0;0;0
'3B90.781;0;0;0
'3B90.79;0;0;0
'3B90.791;0;0;0
'3B90.792;0;0;0
'3B90.793;0;0;0
'3B90.794;0;0;0
'3B90.795;0;0;0
'3B90.80;0;0;0
'3B90.83;0;0;0
'3B90.831;0;0;0
'3B90.85;0;0;0
'3B90.86;0;0;0
'3B90.861;0;0;0
'3B90.87;0;0;0
'3B90.871;0;0;0
'3B90.88;0;0;0
'3B90.881;0;0;0
'3B90.89;0;0;0
'3B90.90;0;0;0
'3B90.901;0;0;0
'3B90.902;0;0;0
'3B90.92;0;0;0
'3B90.922;0;0;0
'3B90.93;0;0;0
'3B90.98;0;0;0
'3B90.99;0;0;0
'3B90.991;0;0;0
'3B91;0;0;0
'3B91.01;0;0;0
'3B92;0;0;0
'3B92.01;0;0;0
'3B92.02;0;0;0
'3B92.03;0;0;0
'3B92.04;0;0,01;0
'3B92.05;92,47;164,68;83,22
'3B92.06;0;0;0
'3B92.07;0;0;0
'3B92.11;0;0;0
'3B92.12;0;0;0
'3B92.13;0;0;0
'3B92.14;0;0;0
'3B92.15;0,01;0,04;0,13
'3B92.16;0;0;0
'3B93.01;0;0;0
'3B93.02;0;0;0
'3B93.03;0;0;0
'3B93.061;6,26;7,36;7,09
'3B93.062;0;0;0
'3B93.063;0;0;0
'3B95;0;0;0
'3B96;0;0;0
'3B97;0;0;0
'3B97.01;0;0;0
'3B98;0;0;0
'3B98.01;0;0;0
'3B99;0;0;0
'3B99.01;0;0;0
'3C01;0;0;0
'3C01.01;0;0;0
'3C02;0,73;2,01;2,29
'3C02.01;0,68;1,55;1,61
'3C03;147,98;259,36;294,03
'3C03.01;0;0;0
'3C03.021;723,82;733,18;644,51
'3C03.021-S;0;0;0
'3C03.022;0;0;0
'3C03.024;0;0;0
'3C03.03;0;0;0
'3C03.04;5,6;0;5,33
'3C03.05;0;0;0
'3C03.06;0;0;0
'3C03.07;0;0;0
'3C03.08;0;0;0
'3C03.08-S;0;0;0
'3C03.09;0;0;0
'3C03.10;0;0;0
'3C03.11;0;0;0
'3C03.11-S;0;0;0
'3C03.12;0;0;0
'3C03.12-S;0;0;0
'3C03.13;0;0;0
'3C03.14;0;0;0
'3C03.15;0;0;0
'3C03.16;0,68;0,7;0
'3C03.17;0;0;0
'3C03.18;0;0;0
'3C03-S;0;0;0
'3C04;0;0;0
'3C04.01;0;0;0
'3C04.05;0;0;0
'3C05;83,32;84,81;5,21
'3C05.01;0;0;0
'3C05.02;1,76;0;27,54
'3C06;0;0;0
'3C07;0;0;0
'3C08;0;0,48;0,63
'3C08.01;20,59;25,53;42,36
'3C08.02;0;0;0
'3C08.03;0;0;0
'3C08.04;0;0;0
'3C08.06;0;0;0
'3C08.07;0;0;0
'3C08.08;0,01;0,12;0,04
'3C08.09;0,01;0,12;0,12
'3C09;0;0;0
'3C09.01;0;0;0
'3C10;0;0;0
'3C10.01;0;0;0
'3C10.02;0;0;0
'3C11;0;0;0
'3C12;0;0;0
'3C12.01;0;47,04;98,71
'3C12.02;0;0;0
'3C12.03;0;0;0
'3C12.031;116,43;127,64;137,73
'3C12.04;0;0;0
'3C12.06;0;20,02;0
'3C12.07;0;0;0
'3C12.08;0;0;0
'3C12.09;0;0;0
'3C12.091;0;0;0
'3C12.092;0;0;0
'3C12.10;0;0;0
'3C12.11;0,01;0,12;0,04
'3C12.12;0;0;0
'3C12.15;0,01;0;0,01
'3C12.16;0;0;0
'3C12.17;50,84;49,27;49,53
'3C12.18;0;0;0
'3C12.19;0;0;0
'3C12.20;0;0;0
'3C12.21;0;0;0
'3C12.22;0;0;0
'3C12.23;4,6;4,6;4,6
'3C14;0;0;0
'3C14.01;0;0;0
'3C14.02;0;0;0
'3C15;0;0;0
'3C15.04;0;0;0
'3C16;0;0;0
'3C16.01;0;0;0
'3C16.03;0;0;0
'3C16.04;0;0;0
'3C16.05;0;0;0
'3C17;0;0;0
'3C17.01;0;0;0
'3C17.02;0,01;0,12;0
'3C17.03;0;0;0
'3C17.05;0;0;0
'3C18;0,68;4,28;4,6
'3C18.01;0;0;0
'3C18.03;0;0;0
'3C18.031;0;0;0
'3C18.04;0;0;0
'3C20;0;0;0
'3C20.01;0;0;0
'3C21;12,12;30,22;8,73
'3C21.01;7,42;6,52;6,58
'3C21.02;0,68;1,38;1,3
'3C21.03;0;0;0
'3C21.04;6,62;23,73;48,44
'3C22;0;0;0
'3C22.01;0;0;0
'3C23;0;0;0
'3C24;0;0;0
'3C24.01;0;0;0
'3C25;0;0;0
'3C25.01;0;0;0
'3C25.011;0;0;0
'3C25.02;0;0;0
'3C25.031;0;0;0
'3C25.032;0;0;0
'3C25.051;0;0;0
'3C25.06;0;0;0
'3C25.07;0;0;0
'3C25.071;0;0;0
'3C25.072;0;0;0
'3C25.073;0;0;0
'3C26;0;0;0
'3C26.01;0;0;0
'3C26.02;0;0;0
'3C26.03;0;0;0
'3C27;0;0;0
'3C28;0;0;0
'3C28.01;0;0;0
'3C28.02;0;0;0
'3C28.03;0;0;0
'3C29;0;0;0
'3C29.01;0;0;0
'3C29.011;0;0;0
'3C29.012;0;0;0
'3C29.013;0;0;0
'3C29.02;0;0;0
'3C29.021;0;0;0
'3C29.022;0;0;0
'3C29.023;0;0;0
'3C29.03;0;0;0
'3C29.031;0;0;0
'3C29.032;0;0;0
'3C29.033;0;0;0
'3C29.04;0;0;0
'3C29.041;0;0;0
'3C29.05;0;0;0
'3C30.021;0;0;0
'3C30.022;0;0;0
'3C30.03;0;0;0
'3C30.04;0;0;0
'3C30.06;0;0;0
'3C30.07;0;0;0
'3C30.08;0;0;0
'3C30.09;0;0;0
'3C30.10;0;0;0
'3C30.11;0;0;0
'3C30.111;0;0;0
'3C30.12;0;0;0
'3C30.13;0;0;0
'3C30.14;0;0;0
'3C30.15;0;0;0
'3C30.151;0;0;0
'3C30.152;0;0;0
'3C30.153;0;0;0
'3C30.154;0;0;0
'3C30.16;0;0;0
'3C30.161;0;0;0
'3C30.17;0;0;0
'3C30.18;0;0;0
'3C30.19;0;0;0
'3C30.20;0;0;0
'3C30.21;0;0;0
'3C30.22;0;0;0
'3C30.23;0;0;0
'3C30.24;0;0;0
'3C30.25;0;0;0
'3C30.26;0;0;0
'3C30.261;0;0;0
'3C30.27;0;0;0
'3C30.28;0;0;0
'3C30.29;0;0;0
'3C30.301;0;0;0,01
'3C30.302;0;0;0
'3C30.303;0;0;0
'3C30.31;0;0;0
'3C30.311;0;0;0
'3C30.312;0;0;0
'3C30.313;0;0;0
'3C30.314;0;0;0
'3C30.315;0;0;0
'3C30.315 W SZT;0;0;0
'3C30.316;0;0;0
'3C30.317;0;0;0
'3C30.318;0;0;0
'3C30.32;0;0;0
'3C30.321;0;0;0
'3C30.322;0;0;0
'3C30.323;0;0;0
'3C30.324;0;0;0
'3C30.33;0;0;0
'3C30.331;0;0;0
'3C30.332;0;0;0
'3C30.34;0;0;0
'3C30.341;0;0;0
'3C30.35;0;0;0
'3C30.351;0;0;0
'3C30.36;0;0;0
'3C30.383;0;0;0
'3C30.384;0;0;0
'3C30.39;0;0;0
'3C30.40;0;0;0
'3C30.411;0;0;0
'3C30.412;0;0;0
'3C30.413;0;0;0
'3C30.414;0;0;0
'3C30.415;0;0;0
'3C30.416;0;0;0
'3C30.42;0;0;0
'3C30.43;0;0;0
'3C30.44;0;0;0
'3C30.45;0;0;0
'3C30.46;0;0;0
'3C30.48;0;0;0
'3C30.482;0,58;0;0
'3C30.483;0;0;0
'3C30.484;0;0;0
'3C30.486;0;0;0
'3C30.49;0;0;0
'3C30.50;0;0;0
'3C30.51;0;0;0
'3C30.52;0;0;0
'3C30.521;0;0;0
'3C30.531;0;0;0
'3C30.54;0;0;0
'3C30.55;0;0;0
'3C30.56;0;0;0
'3C30.57;0;0;0
'3C30.585;0;0;0
'3C30.60;0;0;0
'3C30.61;0;0;0
'3C30.62;0;0;0
'3C30.63;0;0;0
'3C30.65;0;0;0
'3C30.66;0;0;0
'3C30.67;0;0;0
'3C30.671;0;0;0
'3C30.672;0;0;0
'3C30.68;0;0;0
'3C30.69;0;0;0
'3C30.71;0;0;0
'3C30.711;0;0;0
'3C30.721;0;0;0
'3C30.73;0;0;0
'3C30.74;0;0;0
'3C30.741;0;0;0
'3C30.742;0;0;0
'3C30.76;0;0;0
'3C30.760;0;0;0
'3C30.78;0;0;0
'3C30.79;0;0;0
'3C30.80;0;0;0
'3C30.81;0;0;0
'3C30.82;0;0;0
'3C30.821;0;0;0
'3C30.83;0;0;0
'3C30.831;0;0;0
'3C30.832;0;0;0
'3C30.833;0;0;0
'3C30.84;0;0;0
'3C30.854;0;0;0
'3C30.86;0;0;0
'3C30.861;0;0;0
'3C30.87;0;0;0
'3C30.88;0;0;0
'3C30.89;0;0;0
'3C30.891;0;0;0
'3C30.90;0;0;0
'3C30.91;0;0;0
'3C30.92;0;0;0
'3C30.93;0;0;0
'3C30.94;0;0;0
'3C30.95;0;0;0
'3C30.96;0;0;0
'3C30.97;0;0;0
'3C30.98;0;0;0
'3C30.99;0;0;0
'3C31;0;0;0
'3C32;0;0;0
'3C32.01;0;0;0
'3C32.02;0;0;0
'3C33;0,68;1,38;1,3
'3C33.01;0,68;1,38;1,3
'3C33.02;0;0;0
'3C33.03;0;0;0
'3C35;0;0;0
'3C36;0;0;0
'3C37;0;0;0
'3C37.01;0;0;0
'3C37.01XXX;0;0;0
'3C38;0;0;0
'3C38.01;0;0;0
'3C38.02;0;0;0
'3C38.03;99,82;95,4;97,05
'3C38.04;0;0;0
'3C38.05;0;0;0
'3C39;0;0;0
'3C39.01;0;0;0
'3C39.03;0;0;0
'3C39.04;0;0;0
'3C40.01;0;0;0
'3C40.02;0;0;0
'3C40.03;0;0;0
'3C40.04;0;0;0
'3C40.05;0;0;0
'3C40.051;0;0;0
'3C40.07;0;0;0
'3C40.071;0;0;0
'3C40.08;0;0;0
'3C40.09;0;0;0
'3C40.12;0;0;0
'3C40.13;0;0;0
'3C40.14;0;0;0
'3C40.141;0;0;0
'3C40.14X;0;0;0
'3C40.15;0;0;0
'3C40.16;0;0;0
'3C40.17;0;0;0
'3C40.18;0;0;0
'3C40.181;0;0;0
'3C40.182;0;0;0
'3C40.19;0;0;0
'3C40.191;0;0;0
'3C40.20;0;0;0
'3C40.21;0;0;0
'3C40.22;0;0;0
'3C40.23;0;0;0
'3C40.25;0;0;0
'3C40.251;0;0;0
'3C40.252;0;0;0
'3C40.253;0;0;0
'3C40.254;0;0;0
'3C40.26;0;0;0
'3C40.27;0;0;0
'3C40.28;0;0;0
'3C40.30;0;0;0
'3C40.301;0;0;0
'3C40.31;0;0;0
'3C40.32;0;0;0
'3C40.320;0;0;0
'3C40.321;0;0;0
'3C40.322;0;0;0
'3C40.323;0;0;0
'3C40.324;0;0;0
'3C40.325;0;0;0
'3C40.326;0;0;0
'3C40.35;0;0;0
'3C40.36;0;0;0
'3C40.37;0;0;0
'3C40.38;0;0;0
'3C40.381;0;0;0
'3C40.3811;0;0;0
'3C40.3812;0;0;0
'3C40.382;0;0;0
'3C40.383;0;0;0
'3C40.3831;0;0;0
'3C40.3832;0;0;0
'3C40.384;0;0;0
'3C40.385;0;0;0
'3C40.3851;0;0;0
'3C40.3852;0;0;0
'3C40.386;0;0;0
'3C40.387;0;0;0
'3C40.3871;0;0;0
'3C40.3872;0;0;0
'3C40.39;0;0;0
'3C40.40;0;0;0
'3C40.43;0;0;0
'3C40.44;0;0;0
'3C40.441;0;0;0
'3C40.45;0,01;0,12;0,04
'3C40.451;0;0;0
'3C40.452;0;0;0
'3C40.453;0;0;0
'3C40.46;0;0;0
'3C40.461;0;0;0
'3C40.47;0;0;0
'3C40.49;0;0;0
'3C40.491;0;0;0
'3C40.50;0;0;0
'3C40.501;0;0;0
'3C40.51;0;0;0
'3C40.52;0;0;0
'3C40.53;0;0;0
'3C40.531;0;0;0
'3C40.532;0;0;0
'3C40.533;0;0;0
'3C40.55;0;0;0
'3C40.551;0;0;0
'3C40.56;0;0;0
'3C40.59;0;0;0
'3C40.60;0;0;0
'3C40.61;0;0;0
'3C40.62;0;0;0
'3C40.620  [3C97.01];0;0;0
'3C40.621;0;0;0
'3C40.63;0;0;0
'3C40.631;0;0;0
'3C40.64;0;0;0
'3C40.640;0;0;0
'3C40.641;0;0;0
'3C40.643;0;0;0
'3C40.644;0;0;0
'3C40.645;0;0;0
'3C40.646;0;0;0
'3C40.647;0;0;0
'3C40.65;0;0;0
'3C40.651;0;0;0
'3C40.652;0;0;0
'3C40.653;0;0;0
'3C40.654;0;0;0
'3C40.6541;0;0;0
'3C40.6542;0;0;0
'3C40.6543;0;0;0
'3C40.6545;0;0;0
'3C40.6546;0;0;0
'3C40.656;0;0;0
'3C40.657;0;0;0
'3C40.658;0;0;0
'3C40.659;0;0;0
'3C40.662;0;0;0
'3C40.67;0;0;0
'3C40.6721;0;0;0
'3C40.673;0;0;0
'3C40.674;0;0;0
'3C40.675;0;0;0
'3C40.6751;0;0;0
'3C40.676;0;0;0
'3C40.677;0;0;0
'3C40.678;0;0;0
'3C40.679;0;0;0
'3C40.68;0;0;0
'3C40.681;0;0;0
'3C40.682;0;0;0
'3C40.683;0;0;0
'3C40.684;0,68;0,7;6,63
'3C40.69;0;0;0
'3C40.691;0;0;0
'3C40.692;0;0;0
'3C40.693;0;0;0
'3C40.694;0;0;0
'3C40.696;0;0;0
'3C40.697;0;0;0
'3C40.698;0;0;0
'3C40.70;0;0;0
'3C40.71;0;0;0
'3C40.72;0;0;0
